municipality_code,municipality,date,population_density,population,area_m2
08111000GEMI,"Stuttgart, Landeshauptstadt",2022-12-31,2952,612041,207332201
08111000GEMI,"Stuttgart, Landeshauptstadt",2023-12-31,2957,613111,207332184
08111000GEMI,"Stuttgart, Landeshauptstadt",2024-12-31,2955,612663,207332247
08115001GEMI,Aidlingen,2022-12-31,346,9201,26559282
08115001GEMI,Aidlingen,2023-12-31,350,9288,26559287
08115001GEMI,Aidlingen,2024-12-31,350,9302,26559293
08115002GEMI,Altdorf,2022-12-31,259,4525,17453348
08115002GEMI,Altdorf,2023-12-31,258,4495,17453365
08115002GEMI,Altdorf,2024-12-31,259,4529,17453367
08115003GEMI,"Böblingen, Stadt",2022-12-31,1301,50785,39040198
08115003GEMI,"Böblingen, Stadt",2023-12-31,1317,51405,39040197
08115003GEMI,"Böblingen, Stadt",2024-12-31,1319,51483,39041192
08115004GEMI,Bondorf,2022-12-31,352,6182,17542276
08115004GEMI,Bondorf,2023-12-31,355,6236,17542275
08115004GEMI,Bondorf,2024-12-31,355,6230,17542278
08115010GEMI,Deckenpfronn,2022-12-31,286,3260,11411587
08115010GEMI,Deckenpfronn,2023-12-31,289,3299,11411576
08115010GEMI,Deckenpfronn,2024-12-31,287,3274,11411573
08115013GEMI,Ehningen,2022-12-31,512,9111,17806261
08115013GEMI,Ehningen,2023-12-31,517,9198,17806262
08115013GEMI,Ehningen,2024-12-31,521,9277,17806257
08115015GEMI,Gärtringen,2022-12-31,637,12878,20205232
08115015GEMI,Gärtringen,2023-12-31,644,13015,20205230
08115015GEMI,Gärtringen,2024-12-31,640,12934,20205516
08115016GEMI,Gäufelden,2022-12-31,447,8978,20071311
08115016GEMI,Gäufelden,2023-12-31,449,9020,20071313
08115016GEMI,Gäufelden,2024-12-31,457,9181,20071311
08115021GEMI,"Herrenberg, Stadt",2022-12-31,515,33812,65697088
08115021GEMI,"Herrenberg, Stadt",2023-12-31,519,34125,65697088
08115021GEMI,"Herrenberg, Stadt",2024-12-31,520,34192,65697100
08115022GEMI,Hildrizhausen,2022-12-31,289,3520,12161278
08115022GEMI,Hildrizhausen,2023-12-31,292,3557,12161263
08115022GEMI,Hildrizhausen,2024-12-31,294,3581,12160978
08115024GEMI,"Holzgerlingen, Stadt",2022-12-31,1037,13879,13385308
08115024GEMI,"Holzgerlingen, Stadt",2023-12-31,1044,13975,13385306
08115024GEMI,"Holzgerlingen, Stadt",2024-12-31,1060,14184,13385308
08115028GEMI,"Leonberg, Stadt",2022-12-31,1000,48707,48728404
08115028GEMI,"Leonberg, Stadt",2023-12-31,1006,49043,48728421
08115028GEMI,"Leonberg, Stadt",2024-12-31,1015,49480,48728422
08115029GEMI,Magstadt,2022-12-31,500,9554,19123512
08115029GEMI,Magstadt,2023-12-31,501,9574,19123515
08115029GEMI,Magstadt,2024-12-31,497,9513,19123521
08115034GEMI,Mötzingen,2022-12-31,458,3731,8145458
08115034GEMI,Mötzingen,2023-12-31,460,3744,8145442
08115034GEMI,Mötzingen,2024-12-31,457,3719,8145442
