statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label
11111;Feststellung des Gebietsstands;STAG;Stichtag;2023-12-31;REGI;Regionen;0841REGI;Region Neckar-Alb;2464543381;m²;FLC006;Gebietsfläche
11111;Feststellung des Gebietsstands;STAG;Stichtag;2023-12-31;REGI;Regionen;0841REGI;Region Neckar-Alb;292;EW/km²;FLC106;Bevölkerungsdichte
11111;Feststellung des Gebietsstands;STAG;Stichtag;2023-12-31;REGI;Regionen;0813REGI;Region Ostwürttemberg;2138525404;m²;FLC006;Gebietsfläche
11111;Feststellung des Gebietsstands;STAG;Stichtag;2023-12-31;REGI;Regionen;0813REGI;Region Ostwürttemberg;212;EW/km²;FLC106;Bevölkerungsdichte
11111;Feststellung des Gebietsstands;STAG;Stichtag;2023-12-31;REGI;Regionen;0831REGI;Region Südlicher Oberrhein;4061509953;m²;FLC006;Gebietsfläche
11111;Feststellung des Gebietsstands;STAG;Stichtag;2023-12-31;REGI;Regionen;0831REGI;Region Südlicher Oberrhein;276;EW/km²;FLC106;Bevölkerungsdichte
11111;Feststellung des Gebietsstands;STAG;Stichtag;2023-12-31;REGI;Regionen;0811REGI;Region Stuttgart;3653570671;m²;FLC006;Gebietsfläche
11111;Feststellung des Gebietsstands;STAG;Stichtag;2023-12-31;REGI;Regionen;0811REGI;Region Stuttgart;760;EW/km²;FLC106;Bevölkerungsdichte
11111;Feststellung des Gebietsstands;STAG;Stichtag;2022-12-31;REGI;Regionen;0843REGI;Region Bodensee-Oberschwaben;3501083878;m²;FLC006;Gebietsfläche
11111;Feststellung des Gebietsstands;STAG;Stichtag;2022-12-31;REGI;Regionen;0843REGI;Region Bodensee-Oberschwaben;183;EW/km²;FLC106;Bevölkerungsdichte
11111;Feststellung des Gebietsstands;STAG;Stichtag;2023-12-31;REGI;Regionen;0821REGI;Region Karlsruhe;2137029915;m²;FLC006;Gebietsfläche
11111;Feststellung des Gebietsstands;STAG;Stichtag;2023-12-31;REGI;Regionen;0821REGI;Region Karlsruhe;492;EW/km²;FLC106;Bevölkerungsdichte
